temp,prec,invierno,otoño,primavera,verano,mp25
14.5,0,0,1,0,0,19
14.6,0.4,0,1,0,0,68
9.8,0,0,1,0,0,40
13.4,1.2,0,1,0,0,14
11.6,0,0,1,0,0,77
7.6,4.4,0,1,0,0,36
10.4,3,0,1,0,0,24
6.5,0,0,1,0,0,137
2.5,46,0,1,0,0,45
10.6,6.6,0,1,0,0,47
6.5,13,0,1,0,0,61
10.1,14.2,0,1,0,0,13
8.8,7.8,0,1,0,0,24
8.9,10.2,0,1,0,0,57
6.2,0.8,0,1,0,0,136
2.3,0,0,1,0,0,56
2.4,0,0,1,0,0,117
4.4,0.4,0,1,0,0,63
9.5,12,0,1,0,0,29
11.4,0,0,1,0,0,101
7.7,4.6,0,1,0,0,51
10.9,26.4,0,1,0,0,19
10.7,2.2,0,1,0,0,30
5.4,0.6,0,1,0,0,84
10.4,44.6,0,1,0,0,15
10.4,0.4,0,1,0,0,150
5.3,27.6,0,1,0,0,34
12,8.4,0,1,0,0,21
5.3,12.2,0,1,0,0,35
5.4,0,0,1,0,0,74
2.2,0.2,0,1,0,0,127
5.7,0,0,1,0,0,30
4.3,0,0,1,0,0,50
8,1,0,1,0,0,49
8.7,0,0,1,0,0,21
6,0,0,1,0,0,58
0.6,0.2,0,1,0,0,120
2.6,0,0,1,0,0,63
6.1,0.4,0,1,0,0,102
7.2,1,0,1,0,0,83
11.2,10.6,1,0,0,0,15
13.2,6.6,1,0,0,0,14
11.1,5.4,1,0,0,0,46
9.9,7.6,1,0,0,0,41
10.4,11.2,1,0,0,0,17
9,15.8,1,0,0,0,30
7.8,3.8,1,0,0,0,39
5.1,1.4,1,0,0,0,88
8.2,0.2,1,0,0,0,53
8.8,4.4,1,0,0,0,67
10.3,17.4,1,0,0,0,26
10.5,11.2,1,0,0,0,17
10.2,30,1,0,0,0,35
10,12,1,0,0,0,16
7.4,6.6,1,0,0,0,35
5.6,1,1,0,0,0,105
2.9,10.6,1,0,0,0,93
8.5,3.2,1,0,0,0,16
6.8,1.8,1,0,0,0,83
3,0,1,0,0,0,56
3.1,0,1,0,0,0,125
3.5,0,1,0,0,0,89
6.5,8.2,1,0,0,0,62
7.2,1.2,1,0,0,0,31
6.2,0.4,1,0,0,0,37
3.5,0,1,0,0,0,105
1.5,0,1,0,0,0,241
1.2,20.8,1,0,0,0,164
10.8,7,1,0,0,0,20
13.3,31.2,1,0,0,0,14
11.3,1,1,0,0,0,44
6.5,2.8,1,0,0,0,90
0.6,0.4,1,0,0,0,116
4.2,13,1,0,0,0,25
9.2,0.8,1,0,0,0,42
6.3,0.2,1,0,0,0,114
8.8,0.4,1,0,0,0,22
11.8,1,1,0,0,0,13
13.6,0.2,1,0,0,0,14
12.2,0,1,0,0,0,63
12.4,3.4,1,0,0,0,10
9.7,1,1,0,0,0,26
7.3,0,1,0,0,0,42
3.5,0,1,0,0,0,75
3.5,0,1,0,0,0,80
6.8,0,1,0,0,0,52
6.2,0,1,0,0,0,107
2.9,0.6,1,0,0,0,139
6.7,11.2,1,0,0,0,76
10.6,37.4,1,0,0,0,25
9.9,4.2,1,0,0,0,24
5.2,1.4,1,0,0,0,68
4.7,0,1,0,0,0,42
9.6,10.6,1,0,0,0,57
12.1,16.2,1,0,0,0,8
10.8,5.2,1,0,0,0,28
10.4,6.2,1,0,0,0,29
8.1,0,1,0,0,0,29
4.5,9,1,0,0,0,28
7.8,13.6,1,0,0,0,27
10.1,20.2,1,0,0,0,32
9.1,9.8,1,0,0,0,30
7.6,8.6,1,0,0,0,42
6.4,1.6,1,0,0,0,62
3.8,0,1,0,0,0,105
3.3,0,1,0,0,0,191
2.9,0,1,0,0,0,197
5.8,7.4,1,0,0,0,85
10.1,0,1,0,0,0,61
6.8,21,1,0,0,0,61
7.6,2.2,1,0,0,0,28
6.9,11.6,1,0,0,0,20
8.6,1.4,1,0,0,0,61
3.4,0.4,1,0,0,0,103
4.5,0,1,0,0,0,93
5.4,0.2,1,0,0,0,86
8.1,14.4,1,0,0,0,34
10,27.6,1,0,0,0,15
9.8,1,1,0,0,0,25
9.8,0.8,1,0,0,0,31
11.2,4,1,0,0,0,16
10.1,2.8,1,0,0,0,36
8.8,2,1,0,0,0,27
8.8,4.2,1,0,0,0,30
8.6,26.8,1,0,0,0,16
10.9,19,1,0,0,0,11
11.9,3,1,0,0,0,19
8.1,8.8,1,0,0,0,27
5.5,3.4,1,0,0,0,48
5.2,0,1,0,0,0,42
5.9,0,1,0,0,0,20
7.5,0,1,0,0,0,30
9,9,0,0,1,0,51
8.8,1.8,0,0,1,0,35
8.6,0,0,0,1,0,41
6.9,0,0,0,1,0,56
6.9,0,0,0,1,0,40
7.5,0,0,0,1,0,18
8.9,7.2,0,0,1,0,14
7.9,0,0,0,1,0,28
10.2,0,0,0,1,0,19
10.6,0,0,0,1,0,30
10.3,1.8,0,0,1,0,17
10.8,0.2,0,0,1,0,18
9.2,0,0,0,1,0,20
8.8,0.2,0,0,1,0,28
7.2,0.2,0,0,1,0,30
9.7,0,0,0,1,0,15
8,0,0,0,1,0,24
9.6,0,0,0,1,0,16
10.7,1,0,0,1,0,12
9.2,0,0,0,1,0,14
8.2,0,0,0,1,0,14
9.8,0,0,0,1,0,21
7.5,0,0,0,1,0,22
